subj_idx,species,coh,rt,response,subjectID
238,human,0.02,1.380063,1,459
238,human,0.12,0.613974,1,459
238,human,0.24,0.564009,1,459
238,human,0.24,0.514003,1,459
238,human,0.04,0.81371,1,459
238,human,0.08,0.680337,1,459
238,human,0.02,0.699316,1,459
238,human,0.12,0.764349,1,459
238,human,0.08,0.946915,1,459
238,human,0.06,2.196396,0,459
238,human,0.04,0.764245,1,459
238,human,0.08,0.864464,1,459
238,human,0.32,0.530495,1,459
238,human,0.08,0.747288,1,459
238,human,0.24,0.547136,1,459
238,human,0.08,1.830079,1,459
238,human,0.08,0.714341,1,459
238,human,0.24,0.53071,1,459
238,human,0.08,0.697473,1,459
238,human,0.06,0.513816,1,459
238,human,0.24,0.547104,1,459
238,human,0.12,0.714042,1,459
238,human,0.06,1.080172,1,459
238,human,0.02,0.697064,1,459
238,human,0.16,0.547197,1,459
238,human,0.12,0.963832,1,459
238,human,0.32,0.580876,1,459
238,human,0.06,0.946986,1,459
238,human,0.16,0.530691,1,459
238,human,0.04,0.597174,1,459
238,human,0.06,0.797219,1,459
238,human,0.08,0.530655,1,459
238,human,0.02,0.597151,1,459
238,human,0.12,0.547537,1,459
238,human,0.02,0.564171,0,459
238,human,0.32,0.531142,1,459
238,human,0.08,0.681079,1,459
238,human,0.04,0.630463,1,459
238,human,0.06,0.513774,1,459
238,human,0.12,0.547153,1,459
238,human,0.08,0.813842,1,459
238,human,0.08,0.697704,1,459
238,human,0.06,0.563857,1,459
238,human,0.06,0.714053,1,459
238,human,0.16,0.747055,1,459
238,human,0.16,0.633753,1,459
238,human,0.12,0.897154,1,459
238,human,0.08,0.68035,1,459
238,human,0.12,0.730824,1,459
238,human,0.16,0.680872,1,459
238,human,0.12,0.714142,1,459
238,human,0.06,0.614411,1,459
238,human,0.08,0.697571,1,459
238,human,0.06,0.614077,0,459
238,human,0.06,0.997603,1,459
238,human,0.32,0.564028,1,459
238,human,0.08,0.647161,1,459
238,human,0.16,0.747349,1,459
238,human,0.08,0.813806,1,459
238,human,0.16,0.530479,1,459
238,human,0.12,0.714386,1,459
238,human,0.06,2.762871,1,459
238,human,0.08,0.614401,1,459
238,human,0.12,0.530969,1,459
238,human,0.24,0.514435,1,459
238,human,0.04,2.546381,1,459
238,human,0.24,0.580456,1,459
238,human,0.06,0.730643,1,459
238,human,0.24,0.530695,1,459
238,human,0.08,1.147273,1,459
238,human,0.06,0.730663,1,459
238,human,0.02,0.713783,0,459
238,human,0.08,0.747629,1,459
238,human,0.04,3.662967,1,459
238,human,0.08,0.881047,1,459
238,human,0.02,1.480046,1,459
238,human,0.08,0.763744,1,459
238,human,0.08,0.730472,1,459
238,human,0.12,0.79766,1,459
238,human,0.12,0.730615,1,459
238,human,0.08,1.613452,0,459
238,human,0.06,1.180753,1,459
238,human,0.24,0.864245,1,459
238,human,0.08,0.697471,1,459
238,human,0.12,0.619918,1,459
238,human,0.32,0.497155,1,459
238,human,0.02,2.196368,0,459
238,human,0.02,3.113168,1,459
238,human,0.08,0.664192,1,459
