subj_idx,species,coh,rt,response,subjectID
8,rat,0.8,1.147413,1,381
8,rat,0.7,0.727507,0,381
8,rat,1,0.66751,1,381
8,rat,0.6,0.537558,0,381
8,rat,0.7,0.497527,0,381
8,rat,1,0.757512,1,381
8,rat,1,1.017501,1,381
8,rat,0.6,0.597624,0,381
8,rat,1,1.577348,1,381
8,rat,0.7,1.427494,1,381
8,rat,0.7,1.207451,0,381
8,rat,0.6,0.707583,1,381
8,rat,0.6,1.057472,0,381
8,rat,0.7,0.917521,1,381
8,rat,1,0.747559,0,381
8,rat,1,0.747498,1,381
8,rat,0.7,0.857495,0,381
8,rat,1,0.796988,1,381
8,rat,0.8,3.11747,1,381
8,rat,0.7,0.707574,0,381
8,rat,0.8,0.607592,1,381
8,rat,1,0.787543,1,381
8,rat,0.9,0.687493,1,381
8,rat,0.8,1.057425,1,381
8,rat,0.6,1.457505,1,381
8,rat,0.7,0.767551,0,381
8,rat,0.8,0.786927,1,381
8,rat,0.9,0.78753,0,381
8,rat,1,0.627532,1,381
8,rat,0.7,0.537544,1,381
8,rat,1,1.187547,1,381
8,rat,1,0.817534,1,381
8,rat,0.7,0.717549,1,381
8,rat,0.9,0.497542,1,381
8,rat,0.9,0.557507,1,381
8,rat,0.9,0.597503,1,381
8,rat,0.6,1.947521,1,381
8,rat,0.9,1.087518,1,381
8,rat,0.9,0.727517,1,381
8,rat,1,0.647595,1,381
8,rat,0.7,0.647604,0,381
8,rat,0.7,1.487527,1,381
8,rat,0.7,0.687548,0,381
8,rat,0.6,1.227555,1,381
8,rat,0.8,0.587521,0,381
8,rat,0.7,0.657623,1,381
8,rat,0.6,0.79756,0,381
8,rat,0.8,0.947546,1,381
8,rat,0.8,0.847561,0,381
8,rat,0.7,0.687686,1,381
8,rat,0.6,0.657526,0,381
8,rat,0.8,0.687382,0,381
8,rat,0.8,0.617563,1,381
8,rat,1,1.167547,1,381
8,rat,0.9,0.567518,1,381
8,rat,0.8,1.37746,0,381
8,rat,0.9,1.32757,0,381
8,rat,0.9,0.887571,1,381
8,rat,0.7,0.727596,0,381
8,rat,0.6,0.567629,0,381
8,rat,0.6,1.357542,1,381
8,rat,0.6,0.607549,0,381
8,rat,0.7,1.446997,0,381
8,rat,0.9,0.917586,0,381
8,rat,0.6,0.917541,0,381
8,rat,0.7,0.847564,1,381
8,rat,0.8,0.577496,1,381
8,rat,0.9,0.657559,1,381
8,rat,0.8,0.77744,1,381
8,rat,1,0.597492,1,381
8,rat,0.8,0.647561,1,381
8,rat,0.6,0.797527,1,381
8,rat,0.8,1.277545,1,381
8,rat,0.8,1.557593,1,381
8,rat,0.8,1.207533,1,381
8,rat,1,0.667498,1,381
8,rat,0.6,1.257512,1,381
8,rat,0.8,0.707568,1,381
8,rat,0.8,0.697542,1,381
8,rat,0.9,0.717632,1,381
